Display Name,Family,Subfamily,Pref. Family,Pref. Subfamily,Version,Vendor ID,Styles,Width,Weight,Blocks,Characters,Glyphs
Basileia (Regular),Basileia,Regular,,,Version 6.00,PYRS,Regular,5 (Medium),400 (Normal),2,99,100
Blackie (Regular),Blackie,Regular,,,Version 6.00,HNYI,Regular,5 (Medium),400 (Normal),15,498,499
Elgatino (Regular),Elgatino,Regular,,,Version 6.00,PYRS,Regular,5 (Medium),400 (Normal),2,99,100
Ink Chancery (Regular),Ink Chancery,Regular,,,Version 6.00,HNYI,Regular,5 (Medium),400 (Normal),21,731,733
Mildy (Bold),Mildy,Bold,Mildy,75W,Version 6.00,HNYI,Regular,5 (Medium),700 (Bold),33,1155,1156
Mithril (Regular),Mithril,Regular,,,Version 6.00,PYRS,Regular,5 (Medium),400 (Normal),6,185,187
PARaDOS (Regular),PARaDOS,Regular,,,Version 6.00,PYRS,Regular,5 (Medium),400 (Normal),2,99,100
Rayna (Regular),Rayna,Regular,,,Version 6.00,PYRS,Regular,5 (Medium),400 (Normal),8,217,219
Toshiyana (Regular),Toshiyana,Regular,,,Version 6.00,PYRS,Regular,5 (Medium),400 (Normal),3,100,102
汉仪PP体简 (Regular),汉仪PP体简,Regular,,,Version 5.01,HNYI,Regular,5 (Medium),400 (Normal),34,7911,7912
汉仪阿尔茨海默症体 (Regular),汉仪阿尔茨海默症体,Regular,,,Version 5.00,HNYI,Regular,5 (Medium),400 (Normal),8,7149,6914
汉仪白棋体简 (Regular),汉仪白棋体简,Regular,,,Version 3.53,HANY,Regular,5 (Medium),400 (Normal),27,7615,7659
汉仪柏京体W Regular (Regular),汉仪柏京体W Regular,Regular,汉仪柏京体W,Regular,Version 5.00,HNYI,Regular,5 (Medium),400 (Normal),34,10462,10463
汉仪柏京体简 (Regular),汉仪柏京体简,Regular,,,Version 5.01,HNYI,Regular,5 (Medium),400 (Normal),34,7911,7976
汉仪柏青体繁 (Regular),汉仪柏青体繁,Regular,,,Version 3.53,HANY,Regular,5 (Medium),400 (Normal),27,7615,7659
汉仪柏青体简 (Regular),汉仪柏青体简,Regular,,,Version 3.53,HANY,Regular,5 (Medium),400 (Normal),27,7615,7659
汉仪报宋繁 (Regular),汉仪报宋繁,Regular,,,Version 3.53,HANY,Regular,5 (Medium),400 (Normal),27,8205,8249
汉仪报宋简 (Regular),汉仪报宋简,Regular,,,Version 3.53,HANY,Regular,5 (Medium),400 (Normal),27,8633,8677
汉仪彩蝶体简 (Regular),汉仪彩蝶体简,Regular,,,Version 3.53,HANY,Regular,5 (Medium),400 (Normal),27,7615,7659
汉仪彩云体繁 (Regular),汉仪彩云体繁,Regular,,,Version 3.53,HANY,Regular,5 (Medium),400 (Normal),27,7615,7659
汉仪彩云体简 (Regular),汉仪彩云体简,Regular,,,Version 3.53,HANY,Regular,5 (Medium),400 (Normal),27,7615,7659
汉仪超粗黑繁 (Regular),汉仪超粗黑繁,Regular,,,Version 3.53,HANY,Regular,5 (Medium),400 (Normal),27,7615,7659
汉仪超粗黑简 (Regular),汉仪超粗黑简,Regular,,,Version 3.53,HANY,Regular,5 (Medium),400 (Normal),27,8633,8677
汉仪超粗宋繁 (Regular),汉仪超粗宋繁,Regular,,,Version 3.53,HANY,Regular,5 (Medium),400 (Normal),27,7615,7659
汉仪超粗宋简 (Regular),汉仪超粗宋简,Regular,,,Version 3.53,HANY,Regular,5 (Medium),400 (Normal),27,8633,8677
汉仪超粗圆简 (Regular),汉仪超粗圆简,Regular,,,Version 3.53,HANY,Regular,5 (Medium),400 (Normal),27,7615,7659
汉仪陈频破体简 (Regular),汉仪陈频破体简,Regular,,,Version 3.53,HANY,Regular,5 (Medium),400 (Normal),27,7615,7659
汉仪晨妹子W (Regular),汉仪晨妹子W,Regular,,,Version 5.00,HNYI,Regular,5 (Medium),400 (Normal),34,10316,10317
汉仪晨妹子繁 (Regular),汉仪晨妹子繁,Regular,,,Version 5.00,HNYI,Regular,5 (Medium),400 (Normal),34,7986,7987
汉仪晨妹子简 (Regular),汉仪晨妹子简,Regular,,,Version 5.00,HNYI,Regular,5 (Medium),400 (Normal),34,7910,7911
