Display Name,Family,Subfamily,Pref. Family,Pref. Subfamily,Version,Vendor ID,Styles,Width,Weight,Blocks,Characters,Glyphs
阿丽达黑体 (L),阿丽达黑体,L,阿丽达黑体,L,Version 1.01,HNYI,Regular,5 (Medium),300 (Light),34,10415,10036
阿丽达黑体 (M),阿丽达黑体,M,阿丽达黑体,M,Version 1.01,HNYI,Regular,5 (Medium),400 (Normal),34,10415,10036
汉仪白棋体简 (Regular),汉仪白棋体简,Regular,,,Version 5.00,HNYI,Regular,5 (Medium),400 (Normal),28,7577,7576
汉仪柏青体简 (Regular),汉仪柏青体简,Regular,,,Version 5.00,HANY,Regular,5 (Medium),400 (Normal),28,7770,7891
汉仪报宋简 (Regular),汉仪报宋简,Regular,,,Version 5.00,HNYI,Regular,5 (Medium),400 (Normal),28,7577,7576
汉仪彩蝶体简 (Regular),汉仪彩蝶体简,Regular,,,Version 5.00,HNYI,Regular,5 (Medium),400 (Normal),28,7577,7576
汉仪彩云体简 (Regular),汉仪彩云体简,Regular,,,Version 5.00,HNYI,Regular,5 (Medium),400 (Normal),27,7575,7576
汉仪超粗黑简 (Regular),汉仪超粗黑简,Regular,,,Version 5.00,HNYI,Regular,5 (Medium),400 (Normal),27,7575,7576
汉仪超粗宋简 (Regular),汉仪超粗宋简,Regular,,,Version 5.00,HNYI,Regular,5 (Medium),400 (Normal),28,7577,7576
汉仪超粗圆简 (Regular),汉仪超粗圆简,Regular,,,Version 5.00,HNYI,Regular,5 (Medium),400 (Normal),27,7575,7576
汉仪陈频破体简 (Regular),汉仪陈频破体简,Regular,,,Version 5.00,HNYI,Regular,5 (Medium),400 (Normal),28,7577,7576
汉仪粗仿宋简 (Regular),汉仪粗仿宋简,Regular,,,Version 5.00,HNYI,Regular,5 (Medium),400 (Normal),28,7577,7576
汉仪粗黑简 (Regular),汉仪粗黑简,Regular,,,Version 5.00,HNYI,Regular,5 (Medium),400 (Normal),27,7575,7576
汉仪粗简黑繁 (Regular),汉仪粗简黑繁,Regular,,,Version 5.00,HNYI,Regular,5 (Medium),400 (Normal),34,7911,7912
汉仪粗简黑简 (Regular),汉仪粗简黑简,Regular,,,Version 5.00,HNYI,Regular,5 (Medium),400 (Normal),34,7911,7912
汉仪粗宋简 (Regular),汉仪粗宋简,Regular,,,Version 5.00,HNYI,Regular,5 (Medium),400 (Normal),28,7577,7576
汉仪粗圆简 (Regular),汉仪粗圆简,Regular,,,Version 5.00,HNYI,Regular,5 (Medium),400 (Normal),28,7577,7576
汉仪大黑简 (Regular),汉仪大黑简,Regular,,,Version 5.00,HNYI,Regular,5 (Medium),400 (Normal),28,7577,7576
汉仪大隶书简 (Regular),汉仪大隶书简,Regular,,,Version 5.00,HANY,Regular,5 (Medium),400 (Normal),28,7770,7891
汉仪大宋简 (Regular),汉仪大宋简,Regular,,,Version 5.00,HNYI,Regular,5 (Medium),400 (Normal),28,7577,7576
汉仪黛玉体简 (Regular),汉仪黛玉体简,Regular,,,Version 5.00,HNYI,Regular,5 (Medium),400 (Normal),28,7577,7576
汉仪典雅体繁 (Regular),汉仪典雅体繁,Regular,,,Version 5.00,HNYI,Regular,5 (Medium),400 (Normal),34,7911,8006
汉仪典雅体简 (Regular),汉仪典雅体简,Regular,,,Version 5.00,HNYI,Regular,5 (Medium),400 (Normal),34,7911,8006
汉仪蝶语体简 (Regular),汉仪蝶语体简,Regular,,,Version 5.00,HNYI,Regular,5 (Medium),400 (Normal),28,7577,7576
汉仪嘟嘟体简 (Regular),汉仪嘟嘟体简,Regular,,,Version 5.00,HNYI,Regular,5 (Medium),400 (Normal),28,7577,7576
汉仪范笑歌隶书简 (Regular),汉仪范笑歌隶书简,Regular,,,Version 5.00,HNYI,Regular,5 (Medium),400 (Normal),28,7577,7576
汉仪方叠体简 (Regular),汉仪方叠体简,Regular,,,Version 5.00,HNYI,Regular,5 (Medium),400 (Normal),28,7577,7576
汉仪方隶简 (Regular),汉仪方隶简,Regular,,,Version 5.00,HNYI,Regular,5 (Medium),400 (Normal),28,7577,7576
汉仪方墨体简 (Regular),汉仪方墨体简,Regular,,,Version 5.00,HNYI,Regular,5 (Medium),400 (Normal),28,7577,7576
汉仪仿宋简 (Regular),汉仪仿宋简,Regular,,,Version 5.00,HANY,Regular,5 (Medium),400 (Normal),28,7770,7891
汉仪橄榄体简 (Regular),汉仪橄榄体简,Regular,,,Version 5.00,HANY,Regular,5 (Medium),400 (Normal),28,7770,7891
汉仪刚艺体-35W (35W),汉仪刚艺体-35W,35W,汉仪刚艺体,35W,Version 5.00,HNYI,Regular,5 (Medium),200 (Extra-light),34,10413,10509
汉仪刚艺体-45W (45W),汉仪刚艺体-45W,45W,汉仪刚艺体,45W,Version 5.00,HNYI,Regular,5 (Medium),300 (Light),34,10413,10509
汉仪刚艺体-55W (55W),汉仪刚艺体-55W,55W,汉仪刚艺体,55W,Version 5.00,HNYI,Regular,5 (Medium),400 (Normal),34,10413,10509
汉仪刚艺体-65W (65W),汉仪刚艺体-65W,65W,汉仪刚艺体,65W,Version 5.00,HNYI,Regular,5 (Medium),500 (Medium),34,10413,10509
汉仪刚艺体-75W (75W),汉仪刚艺体-75W,75W,汉仪刚艺体,75W,Version 5.00,HNYI,Regular,5 (Medium),600 (Semi-bold),34,10413,10509
汉仪刚艺体-85W (85W),汉仪刚艺体-85W,85W,汉仪刚艺体,85W,Version 5.00,HNYI,Regular,5 (Medium),700 (Bold),34,10413,10509
汉仪刚艺体-95W (95W),汉仪刚艺体-95W,95W,汉仪刚艺体,95W,Version 5.00,HNYI,Regular,5 (Medium),900 (Black),34,10413,10509
汉仪哈哈体简 (Regular),汉仪哈哈体简,Regular,,,Version 5.00,HNYI,Regular,5 (Medium),400 (Normal),28,7577,7576
汉仪海纹体简 (Regular),汉仪海纹体简,Regular,,,Version 5.00,HNYI,Regular,5 (Medium),400 (Normal),28,7577,7576
汉仪海韵体简 (Regular),汉仪海韵体简,Regular,,,Version 5.00,HNYI,Regular,5 (Medium),400 (Normal),28,7577,7576
汉仪行楷简 (Regular),汉仪行楷简,Regular,,,Version 5.00,HNYI,Regular,5 (Medium),400 (Normal),27,7575,7576
汉仪黑咪体简 (Regular),汉仪黑咪体简,Regular,,,Version 5.00,HNYI,Regular,5 (Medium),400 (Normal),28,7577,7576
汉仪黑棋体简 (Regular),汉仪黑棋体简,Regular,,,Version 5.00,HNYI,Regular,5 (Medium),400 (Normal),28,7577,7576
汉仪黑仔体W (Regular),汉仪黑仔体W,Regular,,,Version 5.00,HNYI,Regular,5 (Medium),400 (Normal),16,9665,9761
汉仪琥珀体简 (Regular),汉仪琥珀体简,Regular,,,Version 5.00,HANY,Regular,5 (Medium),400 (Normal),28,7770,7891
汉仪花蝶体简 (Regular),汉仪花蝶体简,Regular,,,Version 5.00,HNYI,Regular,5 (Medium),400 (Normal),28,7577,7576
汉仪火柴体简 (Regular),汉仪火柴体简,Regular,,,Version 5.00,HNYI,Regular,5 (Medium),400 (Normal),28,7577,7576
汉仪家书简 (Regular),汉仪家书简,Regular,,,Version 5.00,HNYI,Regular,5 (Medium),400 (Normal),28,7577,7576
汉仪楷体简 (Regular),汉仪楷体简,Regular,,,Version 5.00,HANY,Regular,5 (Medium),400 (Normal),28,7770,7891
汉仪乐喵体简 (Regular),汉仪乐喵体简,Regular,,,Version 5.00,HNYI,Regular,5 (Medium),400 (Normal),34,7911,8006
